label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p1,40,0.525,0.23405977896896807,1.2004284045036373,9.362391158758722,12.516999707493245,MM1,BRENT_eia,vol_low
,p2,33,0.3939393939393939,0.06589540265153507,1.0652175623302949,2.174548287500657,12.076551222327097,MM1,BRENT_eia,vol_low
,p3,12,0.5833333333333334,0.6432688532294204,1.878043839206595,7.719226238753045,3.560878373962477,MM1,BRENT_eia,vol_low
,p4,15,0.6,0.7044784621407741,2.0597134689959526,10.567176932111613,8.227140431612655,MM1,BRENT_eia,vol_low
,p1,0,,,,0.0,,TR3.5,WTI_ohlc,all
,p2,24,0.2916666666666667,0.12463632902908413,1.2074342427167797,2.991271896698019,9.463617502885274,TR3.5,WTI_ohlc,all
,p3,10,0.5,0.7569062315119666,2.5790977804243793,7.569062315119665,4.79328285363399,TR3.5,WTI_ohlc,all
,p4,0,,,,0.0,,TR3.5,WTI_ohlc,all
,p1,0,,,,0.0,,TR3.5,WTI_ohlc,with_trend
,p2,8,0.25,0.4483159019196217,1.649878767811026,3.5865272153569734,5.0289285921396045,TR3.5,WTI_ohlc,with_trend
,p3,4,0.25,-0.4843642599237747,0.3268950861973634,-1.9374570396950987,2.878387900557189,TR3.5,WTI_ohlc,with_trend
,p4,0,,,,0.0,,TR3.5,WTI_ohlc,with_trend
,p1,0,,,,0.0,,TR3.5,WTI_ohlc,counter_trend
,p2,17,0.29411764705882354,-0.09443169812166766,0.8380352858196481,-1.6053388680683502,6.434777918438402,TR3.5,WTI_ohlc,counter_trend
,p3,6,0.6666666666666666,1.5844198924691273,5.964512199240983,9.506519354814763,1.9148949530768005,TR3.5,WTI_ohlc,counter_trend
,p4,0,,,,0.0,,TR3.5,WTI_ohlc,counter_trend
,p1,0,,,,0.0,,TR3.5,WTI_ohlc,vol_high
,p2,9,0.5555555555555556,1.1663277747994074,3.819367441859843,10.496949973194667,2.715909954858113,TR3.5,WTI_ohlc,vol_high
,p3,5,1.0,2.4724690337507313,inf,12.362345168753656,0.0,TR3.5,WTI_ohlc,vol_high
,p4,0,,,,0.0,,TR3.5,WTI_ohlc,vol_high
,p1,0,,,,0.0,,TR3.5,WTI_ohlc,vol_low
,p2,15,0.13333333333333333,-0.5400556660045126,0.28262547264683924,-8.100834990067689,8.100834990067689,TR3.5,WTI_ohlc,vol_low
,p3,5,0.0,-0.9586565707267978,0.0,-4.793282853633989,4.793282853633989,TR3.5,WTI_ohlc,vol_low
,p4,0,,,,0.0,,TR3.5,WTI_ohlc,vol_low
,p1,64,0.21875,-0.5559684689210012,0.6297742465917927,-35.581982010944074,40.61447351850423,TR3.5,WTI_eia,all
,p2,38,0.39473684210526316,0.3447134655278388,1.2974049030161028,13.099111690057875,18.169398483564,TR3.5,WTI_eia,all
,p3,16,0.4375,4.8020443385463984,6.047024102425405,76.83270941674238,12.169578604024489,TR3.5,WTI_eia,all
,p4,15,0.4,2.792539112938766,3.039355593922577,41.88808669408149,14.385307421968893,TR3.5,WTI_eia,all
,p1,35,0.14285714285714285,-1.246645990213304,0.16910312980644074,-43.63260965746564,44.39879670782536,TR3.5,WTI_eia,with_trend
,p2,19,0.3157894736842105,0.5663568326542755,1.3682833930604887,10.760779820431233,25.765780681385827,TR3.5,WTI_eia,with_trend
,p3,8,0.375,1.941340202324864,2.5508912112186555,15.530721618598912,5.028261331852263,TR3.5,WTI_eia,with_trend
,p4,8,0.375,0.7149114338399343,1.4985161520779906,5.719291470719474,8.870719919454892,TR3.5,WTI_eia,with_trend
,p1,38,0.2631578947368421,-0.008310291721825297,0.9941199899193126,-0.3157910854293613,18.934184259879817,TR3.5,WTI_eia,counter_trend
,p2,25,0.36,-0.46036975116333495,0.5986109048673333,-11.509243779083373,16.314803529008586,TR3.5,WTI_eia,counter_trend
,p3,11,0.45454545454545453,5.7041097308707585,7.687193923631088,62.74520703957835,7.141317272172226,TR3.5,WTI_eia,counter_trend
,p4,10,0.5,5.106624416616059,5.677707132539019,51.06624416616059,6.919525365172198,TR3.5,WTI_eia,counter_trend
,p1,33,0.18181818181818182,-0.35018832203010575,0.7192899201526315,-11.556214626993489,24.549963630402743,TR3.5,WTI_eia,vol_high
,p2,18,0.5,1.5698392565060832,3.2074472058341787,28.2571066171095,5.95688861419484,TR3.5,WTI_eia,vol_high
,p3,5,0.6,3.1366591284208596,12.654290625563531,15.683295642104298,1.3457100175366485,TR3.5,WTI_eia,vol_high
,p4,8,0.625,6.798004180030959,11.535938257799476,54.38403344024767,3.151419802155104,TR3.5,WTI_eia,vol_high
,p1,33,0.2727272727272727,-0.6814668634438944,0.5922095530091985,-22.488406493648515,25.131326045740746,TR3.5,WTI_eia,vol_low
,p2,24,0.25,-0.9880887845703569,0.40416809175923113,-23.714130829688564,27.27720806234506,TR3.5,WTI_eia,vol_low
,p3,13,0.38461538461538464,4.7632017275947724,4.307380853405908,61.921622458732045,11.636085781057986,TR3.5,WTI_eia,vol_low
,p4,9,0.3333333333333333,0.20153580518930989,1.117948401458119,1.813822246703789,13.220956585331043,TR3.5,WTI_eia,vol_low
,p1,63,0.2698412698412698,0.05686803018661754,1.0432033289351996,3.5826859017569053,44.557155505341406,TR3.5,BRENT_eia,all
,p2,44,0.36363636363636365,1.2578758448040184,2.2179960497817452,55.34653717137681,16.789870382362263,TR3.5,BRENT_eia,all
,p3,18,0.3888888888888889,1.62614845467017,2.588681936349035,29.270672184063063,11.331142529326605,TR3.5,BRENT_eia,all
,p4,18,0.2222222222222222,0.6241739155642051,1.6228985217806113,11.235130480155691,8.355632958972725,TR3.5,BRENT_eia,all
,p1,27,0.25925925925925924,-0.761328306552159,0.5210515830987837,-20.55586427690829,20.911512964567642,TR3.5,BRENT_eia,with_trend
,p2,20,0.4,1.6537638630323102,2.7755682858892308,33.0752772606462,10.648873013373244,TR3.5,BRENT_eia,with_trend
,p3,10,0.4,1.4936416581776908,2.5466853769487936,14.936416581776907,8.691814305237843,TR3.5,BRENT_eia,with_trend
,p4,7,0.2857142857142857,2.949865344863471,4.070258543028619,20.649057414044297,2.9727862498946998,TR3.5,BRENT_eia,with_trend
,p1,43,0.2558139534883721,0.2810494080987094,1.2229562503155038,12.085124548244503,37.01916445509663,TR3.5,BRENT_eia,counter_trend
,p2,28,0.2857142857142857,0.5542169592915475,1.4623174327819872,15.518074860163328,16.16838629160086,TR3.5,BRENT_eia,counter_trend
,p3,10,0.4,4.973575149902742,6.402675180737603,49.73575149902742,6.201092929971143,TR3.5,BRENT_eia,counter_trend
,p4,14,0.2857142857142857,1.1742615998080423,2.2811134785000253,16.439662397312592,6.903825730057065,TR3.5,BRENT_eia,counter_trend
,p1,32,0.21875,0.49895338215622603,1.396782274322897,15.966508228999233,36.856717748993205,TR3.5,BRENT_eia,vol_high
,p2,18,0.4444444444444444,1.8009528123302136,2.805751182739548,32.41715062194385,8.73964865983929,TR3.5,BRENT_eia,vol_high
,p3,10,0.5,3.8581544266403944,6.2315081969746,38.581544266403945,4.370170746088443,TR3.5,BRENT_eia,vol_high
,p4,8,0.25,2.2858594842671036,3.8421123582696595,18.28687587413683,3.5681065061064032,TR3.5,BRENT_eia,vol_high
