variant,symbol,year,auc,trend_auc,n
lgbm_y5_pooled,XTIUSD,2024,0.5475113122171945,0.38310708898944196,56
lr_y1_per_instr,XBRUSD,2005,0.4925925925925927,0.49736346516007535,253
lr_y1_per_instr,XBRUSD,2006,0.5155677655677655,0.4856532356532357,256
lr_y1_per_instr,XBRUSD,2007,0.5650801359883438,0.47140602234094214,258
lr_y1_per_instr,XBRUSD,2008,0.5577314648460894,0.5827045155108397,259
lr_y1_per_instr,XBRUSD,2009,0.4955314009661836,0.4559782608695652,258
lr_y1_per_instr,XBRUSD,2010,0.44514388489208634,0.4962829736211031,259
lr_y1_per_instr,XBRUSD,2011,0.4919097744360902,0.45515789473684215,258
lr_y1_per_instr,XBRUSD,2012,0.5319711538461538,0.51328125,258
lr_y1_per_instr,XBRUSD,2013,0.5318815225915425,0.4751161247511613,258
lr_y1_per_instr,XBRUSD,2014,0.6131395850009236,0.5515054491718491,258
lr_y1_per_instr,XBRUSD,2015,0.5407529239766081,0.4936951754385965,258
lr_y1_per_instr,XBRUSD,2016,0.4885496183206106,0.47902266033539703,258
lr_y1_per_instr,XBRUSD,2017,0.5119221411192214,0.5044403892944038,257
lr_y1_per_instr,XBRUSD,2018,0.5244012788803765,0.531760873499427,258
lr_y1_per_instr,XBRUSD,2019,0.5153007819715534,0.4744781725263223,258
lr_y1_per_instr,XBRUSD,2020,0.4784708969465649,0.5007156488549618,259
lr_y1_per_instr,XBRUSD,2021,0.4881333005410723,0.50396581406788,259
lr_y1_per_instr,XBRUSD,2022,0.5658834299664327,0.5212694537686909,258
lr_y1_per_instr,XBRUSD,2023,0.5553132194353568,0.4449897007148915,257
lr_y1_per_instr,XBRUSD,2024,0.5350877192982457,0.45394736842105265,62
lr_y1_per_instr,XNGUSD,2005,0.5375381097560976,0.4913617886178862,251
lr_y1_per_instr,XNGUSD,2006,0.5237451737451737,0.39607464607464604,251
lr_y1_per_instr,XNGUSD,2007,0.5077175498298493,0.4202418570734079,257
lr_y1_per_instr,XNGUSD,2008,0.5199349593495934,0.5373333333333333,248
lr_y1_per_instr,XNGUSD,2009,0.47522170057381324,0.494718309859155,250
lr_y1_per_instr,XNGUSD,2010,0.49406751884628,0.4721402818747951,248
lr_y1_per_instr,XNGUSD,2011,0.4818713450292398,0.4711825860948668,249
lr_y1_per_instr,XNGUSD,2012,0.4422709315662037,0.5175544794188862,251
lr_y1_per_instr,XNGUSD,2013,0.517550505050505,0.47878787878787876,252
lr_y1_per_instr,XNGUSD,2014,0.5338577515568667,0.47518846279908233,248
lr_y1_per_instr,XNGUSD,2015,0.4966049382716049,0.47836419753086423,255
lr_y1_per_instr,XNGUSD,2016,0.5308872180451127,0.4630375939849624,258
lr_y1_per_instr,XNGUSD,2017,0.5508606226309576,0.39855837941962347,254
lr_y1_per_instr,XNGUSD,2018,0.4605367530407192,0.3985986250661026,246
lr_y1_per_instr,XNGUSD,2019,0.4634267294817753,0.4590255393007687,257
lr_y1_per_instr,XNGUSD,2020,0.551881622214103,0.48626842041164287,257
lr_y1_per_instr,XNGUSD,2021,0.5313543833112749,0.5058927333459382,252
lr_y1_per_instr,XNGUSD,2022,0.5219415741803801,0.503986477867075,251
lr_y1_per_instr,XNGUSD,2023,0.46144422952933595,0.4349129593810445,251
lr_y1_per_instr,XNGUSD,2024,0.5740740740740741,0.4814814814814815,60
lr_y1_per_instr,XTIUSD,2005,0.48997445721583655,0.5327586206896552,251
lr_y1_per_instr,XTIUSD,2006,0.5383281972265024,0.4847200821777093,250
lr_y1_per_instr,XTIUSD,2007,0.5793936279547791,0.46332219938335045,251
lr_y1_per_instr,XTIUSD,2008,0.4969523809523809,0.5793015873015873,251
lr_y1_per_instr,XTIUSD,2009,0.5018478399388301,0.4537402829106665,251
lr_y1_per_instr,XTIUSD,2010,0.46554304678857295,0.5054987961215592,248
lr_y1_per_instr,XTIUSD,2011,0.5298978463140087,0.48929663608562696,250
lr_y1_per_instr,XTIUSD,2012,0.5322997416020672,0.49612403100775193,252
lr_y1_per_instr,XTIUSD,2013,0.4280015197568389,0.42540526849037485,253
lr_y1_per_instr,XTIUSD,2014,0.47130926724137934,0.5557314116379309,244
lr_y1_per_instr,XTIUSD,2015,0.49363819601914843,0.5198412698412699,255
lr_y1_per_instr,XTIUSD,2016,0.5315638450502153,0.5086083213773314,259
lr_y1_per_instr,XTIUSD,2017,0.5029344831716374,0.5074859264582584,259
lr_y1_per_instr,XTIUSD,2018,0.5675129318033176,0.5282715975979547,260
lr_y1_per_instr,XTIUSD,2019,0.447427293064877,0.45976177519801675,260
lr_y1_per_instr,XTIUSD,2020,0.5353670393777346,0.5108167233835683,257
lr_y1_per_instr,XTIUSD,2021,0.4914967094546165,0.4910405942529484,252
lr_y1_per_instr,XTIUSD,2022,0.5343004513217279,0.5141843971631206,251
lr_y1_per_instr,XTIUSD,2023,0.4999364595247172,0.45660185538187825,251
lr_y1_per_instr,XTIUSD,2024,0.49421296296296297,0.43634259259259256,60
lr_y1_pooled,XBRUSD,2005,0.4874450721908349,0.49736346516007535,253
lr_y1_pooled,XBRUSD,2006,0.5247252747252747,0.4856532356532357,256
lr_y1_pooled,XBRUSD,2007,0.5769791160757649,0.47140602234094214,258
lr_y1_pooled,XBRUSD,2008,0.5163492633848366,0.5827045155108397,259
lr_y1_pooled,XBRUSD,2009,0.47946859903381633,0.4559782608695652,258
lr_y1_pooled,XBRUSD,2010,0.4457434052757794,0.4962829736211031,259
lr_y1_pooled,XBRUSD,2011,0.4816240601503759,0.45515789473684215,258
lr_y1_pooled,XBRUSD,2012,0.49020432692307686,0.51328125,258
lr_y1_pooled,XBRUSD,2013,0.5206008324787356,0.4751161247511613,258
lr_y1_pooled,XBRUSD,2014,0.6140016008866449,0.5515054491718491,258
lr_y1_pooled,XBRUSD,2015,0.49195906432748543,0.4936951754385965,258
lr_y1_pooled,XBRUSD,2016,0.5324277213439923,0.47902266033539703,258
lr_y1_pooled,XBRUSD,2017,0.5073600973236009,0.5044403892944038,257
lr_y1_pooled,XBRUSD,2018,0.5431018881582916,0.531760873499427,258
lr_y1_pooled,XBRUSD,2019,0.535065574779878,0.4744781725263223,258
lr_y1_pooled,XBRUSD,2020,0.5001192748091603,0.5007156488549618,259
lr_y1_pooled,XBRUSD,2021,0.4740531234628627,0.50396581406788,259
lr_y1_pooled,XBRUSD,2022,0.5742447360390601,0.5212694537686909,258
