fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2010,0.006280649574750843,0.04428064957475086,0.06731697670746474,19,3.3056050393425482,0.21052631578947367
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2011,-0.08911463976985684,-0.02511463976985684,-1.8849013894777042,32,-27.848324928080267,0.3125
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2012,-0.09263367152498278,-0.056633671524982776,-1.848431281896761,18,-51.46315084721267,0.3333333333333333
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2013,-0.038107260164254905,-0.010107260164254894,-1.3726022636111177,14,-27.21947154589636,0.35714285714285715
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2014,-0.024799742931295686,0.015200257068704315,-0.9076657334251234,20,-12.399871465647843,0.5
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2015,-0.08172467901056488,-0.05372467901056488,-2.9986639434337827,14,-58.374770721832064,0.07142857142857142
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2016,0.007024521537731835,0.035024521537731834,0.21054623366848152,14,5.017515384094165,0.5714285714285714
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2017,-0.02389113964710586,-0.00789113964710586,-1.5848895031446848,8,-29.863924558882324,0.375
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2018,-0.02656373413012124,-0.01256373413012124,-1.8761180166404159,7,-37.94819161445892,0.14285714285714285
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2019,-0.021025765490258683,-0.005025765490258682,-1.2555326804069102,8,-26.282206862823354,0.375
E,XNGUSD,XNGUSD|mr|5m|pxz|1h|z3|time30,2020,0.004475485661424529,0.006475485661424529,1.6550318531021118,1,44.75485661424529,1.0
